disc,link,state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,Notes,UGrad Concentrations
Applied Geography Cartography Climatology/Meteorology Cultural Geography Economic Geography Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Historical Geography Planning (Regional/Urban) Recreation and Tourism Remote Sensing,https://www.emich.edu/geography-geology/programs/geography/index.php,MI,Eastern Michigan University,,Department of Geography and Geology,College of Arts and Sciences,x,,,,x,,,,,,,,,,
Climatology/Meteorology Cultural Geography Economic Geography Geomorphology GIS GIS Certificate Program Medical Geography Physical Geography/General Remote Sensing Urban Geography,https://geo.msu.edu/index.html,MI,Michigan State University,,"Department of Geography, Environment, and Spatial Sciences",College of Social Science,x,,,,x,x,x,,x,,,,,,
,https://www.grcc.edu/programs/pregeography-aa-general-transfer,MI,Grand Rapids Community College,,Department of Social Sciences,"Human Services, Education, and Social Sciences Academic Pathway", ,,x,,,,,,,,,,,,
"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Geographic Education GIS GIS Certificate Program Hazards Historical Geography Location Theory Medical Geography Physical Geography/General Planning (Regional/Urban) Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Transportation and Communication Urban Geography Water Resources",https://wmich.edu/geography/academics/undergraduate,MI,Western Michigan University,,"Department of Geography, Environment, and Tourism",College of Arts and Sciences,x,,,,x,,x,,,,,,,,
Cartography Cultural Geography Environmental Studies Geographic Thought GIS GIS Certificate Program Physical Geography/General Urban Geography,https://calvin.edu/academics/departments-programs/geo/academics/geography,MI,Calvin University,,"Department of Geology, Geography, and Environmental Studies","Science, Technology, Engineering and Mathematics",x,,,,,x,,,,,,,,,4 geog 3 geologists  one human cert in gis 
"Applied Geography Cartography Conservation, Land Use, Resource Management Cultural Geography Economic Geography Geomorphology GIS GIS Certificate Program Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography",https://sbs.mnsu.edu/academics/geography,MN,"Minnesota State University, Mankato",,Department of Geography,College of Social and Behavioral Sciences,x,x,,,x,x,x,,,,,,,,
Agricultural Geography Climatology/Meteorology Energy Environmental Studies GIS Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Urban Geography Water Resources,https://gustavus.edu/geography/,MN,Gustavus Adolphus College,,Department of Geography,,x,x,,,,x,,,,,,,,,
"Agricultural Geography Cartography Conservation, Land Use, Resource Management Economic Geography Environmental Studies GIS Hazards Medical Geography Political Ecology Political Geography Population Geography Quantitative Methods Remote Sensing Rural Geography Transportation and Communication Urban Geography",https://www.macalester.edu/geography/,MN,Macalester College,,Department of Geography,,x,x,,,,,,,,,,,,,
Biogeography Cartography Climatology/Meteorology Cultural Geography Economic Geography Environmental Studies Gender Geographic Thought GIS Medical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Recreation and Tourism Social Geography Transportation and Communication Urban Geography,https://cla.umn.edu/geography,MN,"University of Minnesota, Twin Cities",,"Department of Geography, Environment and Society",College of Liberal Arts,x,,,,x,x,,x,x,,,,,MS GIS,
Biogeography Cartography Cultural Geography Economic Development Economic Geography Geomorphology GIS GIS Certificate Program Historical Geography Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Regional Development Recreation and Tourism Remote Sensing Social Geography,https://catalog.stcloudstate.edu/~/Catalog/ViewCatalog.aspx?pageid=viewcatalog&catalogid=7&topicgroupid=1675,MN,St. Cloud State University,,Department of Geography and Planning,School of Public Affairs,x,,,,x,x,,,,,,,,,
